Taxon,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24
Acanthisitta_chloris,-0.464201317,0.014486679,0.370507076,0.028037707,0.36944168,-0.018315092,0.271340678,-0.075240252,-0.061848189,0.006358577,0.326791859,-0.009999938,-0.37558457,0.039121639,-0.158254448,0.0447157,0.176531287,0.035201569,-0.356232495,0.001727731,-0.176327227,-0.025446462,0.077835666,-0.040647857
Accipiter_gentilis,-0.439414763,-0.073582952,0.451040747,0.107511237,0.347366293,0.006638063,0.060837613,-0.271416205,-0.04227112,0.035364623,0.302206648,0.070270119,-0.274307417,0.086501565,-0.048178815,0.155359115,0.218284957,0.161455297,-0.324235835,-0.032739922,-0.191127433,-0.06461461,-0.060200874,-0.180746331
Accipiter_nisus,-0.421939215,-0.072918438,0.476239225,0.10234327,0.279116324,-0.049748959,0.106355715,-0.24974138,-0.061096718,0.051246562,0.301047347,0.0831268,-0.281431091,0.08476147,-0.058606094,0.155917016,0.246281368,0.19161497,-0.325331498,-0.042432113,-0.205950219,-0.072072756,-0.054685146,-0.182096441
Aceros_undulatus,-0.623629743,-0.070937958,0.311505956,0.047883478,0.243186764,-0.030099605,0.181830963,-0.144526844,0.125961719,0.021829497,0.217198278,0.007007067,-0.375956846,0.08798402,0.036438593,0.168139962,0.212716727,0.109136635,-0.392414843,-0.031962275,-0.061948466,-0.051168907,0.125110898,-0.113285072
Actenoides_concretus,-0.565372613,0.029424854,0.332675309,0.079683663,0.272597758,-0.047304969,0.233613488,-0.120482806,0.047933816,0.007127236,0.264446593,0.037936421,-0.373432337,0.045709116,-0.036488597,0.064248362,0.210770217,0.084402494,-0.381887782,-0.013811272,-0.113788552,-0.065830497,0.108932699,-0.1011026
Aegithalos_caudatus,-0.444789856,0.005395846,0.405515315,0.07193533,0.382736832,0.00642732,0.21723136,-0.174653939,-0.077338009,-0.025900742,0.295006562,0.010988573,-0.323678437,0.084817189,-0.146056719,0.139557583,0.141080898,0.10814831,-0.316370306,-0.009141593,-0.164870844,-0.072217084,0.031533205,-0.145356793
Aegithina_tiphia,-0.473500542,0.005663328,0.403242217,0.049782549,0.321996017,-0.02392101,0.23046561,-0.125713529,-0.045991384,0.003764725,0.304390979,0.022231264,-0.359005269,0.041960151,-0.124183046,0.065011519,0.196508793,0.075652606,-0.352685474,-0.008587064,-0.166372865,-0.029053453,0.065134964,-0.076791086
Aegypius_monachus,-0.489317462,-0.100233858,0.380769327,0.07219077,0.35506652,0.011191291,0.062774773,-0.167279402,0.051121809,-0.00724182,0.280865748,0.043700506,-0.327381852,0.126637603,0.002418893,0.192315521,0.217588474,0.117091355,-0.364110743,-0.027880332,-0.15924186,-0.103216581,-0.010553626,-0.157275052
Aethopyga_shelleyi,-0.545889859,-0.001646673,0.36989895,0.053773057,0.304791822,-0.008334633,0.215108182,-0.106417469,0.025143237,-0.001115852,0.269426139,0.014463924,-0.366715561,0.05706483,-0.055724331,0.07200347,0.194569148,0.063026942,-0.37165819,-0.010418699,-0.12436897,-0.046172618,0.085419434,-0.08622628
Agapornis_roseicollis,-0.50355513,-0.125762086,0.371675957,0.061317706,0.292340261,-0.040372502,0.077221384,-0.174016878,0.073839328,0.114030332,0.278964481,0.066918573,-0.30594266,0.10027203,0.060960963,0.210905329,0.257138831,0.139431797,-0.378835853,-0.054551674,-0.187847701,-0.11868039,-0.035959861,-0.179492236
