"","taxon","ProcCoord1","ProcCoord2","ProcCoord3","ProcCoord4","ProcCoord5","ProcCoord6","ProcCoord7","ProcCoord8","ProcCoord9","ProcCoord10","ProcCoord11","ProcCoord12","ProcCoord13","ProcCoord14","ProcCoord15","ProcCoord16","ProcCoord17","ProcCoord18","ProcCoord19","ProcCoord20","ProcCoord21","ProcCoord22","ProcCoord23","ProcCoord24"
"1","Agapornis_roseicollis",-0.50355513,-0.125762086,0.371675957,0.061317706,0.292340261,-0.040372502,0.077221384,-0.174016878,0.073839328,0.114030332,0.278964481,0.066918573,-0.30594266,0.10027203,0.060960963,0.210905329,0.257138831,0.139431797,-0.378835853,-0.054551674,-0.187847701,-0.11868039,-0.035959861,-0.179492236
"2","Alisterus_scapularis",-0.500164904,-0.105175432,0.400418401,0.032016241,0.345537105,-0.005067463,0.1032696,-0.193563338,0.028930203,0.088122304,0.271775888,0.069528259,-0.300928447,0.081319837,0.015620979,0.163215702,0.207234534,0.126831727,-0.359571027,-0.044983869,-0.169563196,-0.059563636,-0.042559134,-0.152680331
"3","Amazona_amazonica",-0.494424394,-0.12420681,0.369782683,0.036045474,0.359306132,-0.003414127,0.099732864,-0.208712371,0.050903802,0.099367964,0.265428574,0.053581958,-0.31797277,0.10113373,0.024125407,0.185495863,0.199070848,0.126001635,-0.366818941,-0.045027215,-0.160951788,-0.064284706,-0.028182418,-0.155981395
"4","Aprosmictus_erythropterus",-0.482510448,-0.100226635,0.398926732,0.048381073,0.358406149,-0.004540145,0.0823371,-0.199107526,0.015144785,0.077058173,0.295211395,0.059629038,-0.300155077,0.079535891,0.007250269,0.162755573,0.225580398,0.130622123,-0.353786311,-0.05624292,-0.181001268,-0.059963803,-0.065403722,-0.137900843
"5","Ara_ararauna",-0.530899678,-0.115190665,0.357769698,0.04007098,0.327916979,-0.005086185,0.084539252,-0.189068134,0.111838065,0.088739964,0.228895864,0.057000007,-0.332247256,0.12669631,0.070083505,0.218081814,0.196696618,0.142779742,-0.378411791,-0.054643447,-0.129826522,-0.124280617,-0.006354734,-0.18509977
"6","Aratinga_acuticaudata",-0.493415169,-0.095408344,0.37981432,0.039950326,0.337665225,0.003725584,0.082100091,-0.203333774,0.069321245,0.115554984,0.254139831,0.086542215,-0.297680688,0.108150547,0.056359107,0.200951182,0.210674792,0.139278362,-0.372162307,-0.056768174,-0.190804625,-0.14129476,-0.036011822,-0.197348147
"7","Bolborhynchus_lineola",-0.499343497,-0.094181245,0.396742419,0.035194998,0.358615525,-0.013721381,0.13279516,-0.148565759,0.012791342,0.052072347,0.268843256,0.04358962,-0.303340894,0.090945045,-0.011596112,0.161297301,0.192691178,0.122456828,-0.358076861,-0.029867109,-0.16948859,-0.068197877,-0.020632927,-0.151022768
"8","Cacatua_alba",-0.482509296,-0.117859616,0.394105591,0.096867775,0.336564507,0.022142089,2.87e-05,-0.280475309,0.08426327,0.102693499,0.262343654,0.084832858,-0.285227231,0.110345278,0.091217238,0.22979963,0.244091783,0.165382497,-0.360956147,-0.077171576,-0.184157148,-0.117307873,-0.099764957,-0.219249252
"9","Cacatua_sulphurea",-0.474072943,-0.127650232,0.394732553,0.070642028,0.342522145,0.008828269,0.037742191,-0.263753352,0.077104387,0.093646126,0.25138552,0.090603292,-0.293384929,0.121058579,0.067529206,0.236390874,0.214954845,0.166872405,-0.361112712,-0.061067928,-0.178688031,-0.113629583,-0.078712231,-0.221940477
"10","Chalcopsitta_atra",-0.479646887,-0.103628196,0.385983023,0.062066041,0.33777236,0.005756106,0.102526568,-0.233919692,0.032910766,0.096544848,0.273123485,0.073077233,-0.295004047,0.095076491,0.023238912,0.176827851,0.218756479,0.130340969,-0.361445359,-0.037138469,-0.191905314,-0.086881711,-0.046309986,-0.17812147
